"","X.2","X.1","X","State.Code","State","Density","Population","Area","jcity","lat","long","koppen","county","fs","description"
"1",1,3,3,"CA","California","7,437","78,906","11","Alameda",37.65,-121.91,"Csb","alameda","Alameda, CA",NA
"2",2,5,5,"NY","New York","4,587","98,111","21","Albany",42.6526,-73.7562,"Dfb","albany","Albany, NY",". Albany Energy Plan â<U+0080><U+0094> the plan was developed over a year of in-depth analysis and multiple stakeholder meetings. The finished plan, which was released in early 2015, provides a comprehensive approach to energy use reduction and management, both within municipal operations and city-wide.Â "
"3",3,6,6,"OR","Oregon","3,034","53,211","18","Albany",44.630278,-123.0961,"Csb","linn","Albany, OR",NA
"4",4,8,8,"VA","Virginia","10,367","155,810","15","Alexandria",38.8047,-77.0472,"Cfa","prince georges","Alexandria, VA",NA
"5",5,12,12,"PA","Pennsylvania","6,863","120,443","18","Allentown",40.6017,-75.4772,"Dfa","lehigh","Allentown, PA",NA
"6",6,17,17,"AK","Alaska","175","298,192","1,705","Anchorage",61.216667,-149.9,"Dfc","anchorage","Anchorage, AK",NA
"7",7,20,20,"MI","Michigan","4,340","120,782","28","Ann Arbor",42.2808,-83.743,"Dfa","washtenaw","Ann Arbor, MI",NA
"8",8,21,21,"CA","California","3,912","110,898","28","Antioch",38.0049214,-121.8058,"Csa","contra costa","Antioch, CA",NA
"9",9,29,29,"NC","North Carolina","1,984","89,121","45","Asheville",35.6008,-82.5542,"Cfb","buncombe","Asheville, NC",NA
"10",10,31,31,"GA","Georgia","3,549","472,522","133","Atlanta",33.7489954,-84.38798,"Cfa","fulton","Atlanta, GA",". On May 1st, 2017, the City of Atlanta adopted a resolution to target 100% clean energy by 2025 (http://atlantacityga.iqm2.com/Citizens/Detail_LegiFile.aspx?ID=12113&highlightTerms=3510) The resolution stipulates that â<U+0080><U+009C>by January 2018 the Office of Sustainability will develop a plan for City of Atlanta operations to achieve 100% clean energy by 2025 and community-wide 100% clean energy by 2035 that includes interim milestones, budget estimates, equity metrics, estimated financial impacts, financing mechanisms, and the percentage of clean energy that shall be locally and distributively generated.â<U+0080>"
"11",11,34,34,"GA","Georgia","652","197,081","302","Augusta-Richmond County",33.4712186,-81.96175,"Cfa","richmond","Augusta-Richmond County, GA",NA
"12",12,37,37,"TX","Texas","3,182","947,890","298","Austin",30.2672,-97.7431,"Cfa","travis","Austin, TX",". 68% by 2040. allow for up to 10% of carbon offsets. divest Austin of ownership of coal generation facilities. 45% by 2030. We will add over 600MW of utility solar and and undisclosed amount of wind generation to our portfolio by 2025 to meet this goal. Since we can't predict our load we can't calculate the exact MWh total that would correspond to 55% renewable generation in 2025. Â An estimate would be 8,000,000 MWh.. 75% carbon-free energy by 2025. 22% reduction by 2020. Austin Energy is expected to reach 35% of the total electricity generation mix with renewables no later than 2020. net- zero community-wide greenhouse gas emissions by 2050, or earlier if feasible. 90% by 2050. 55% renewables by 2025. Materials and Waste Management:The Austin Resource Recovery Master Plan sets the goal of reaching 90% diversion of disposed materials from landfills (and incinerators, which Austin does not use) by 2040."
"13",13,41,41,"MD","Maryland","7,594","614,664","81","Baltimore",39.2903848,-76.61219,"Cfa","baltimore city","Baltimore, MD",". solar, wind, CHP"
"14",14,48,48,"OR","Oregon","5,210","97,590","19","Beaverton",45.4869,-122.804,"Csb","washington","Beaverton, OR",NA
"15",15,52,52,"WA","Washington","3,234","87,574","27","Bellingham",48.7519,-122.4787,"Cfb","whatcom","Bellingham, WA",NA
"16",16,54,54,"CA","California","11,580","121,240","10","Berkeley",37.8717,-122.273,"Csb","alameda","Berkeley, CA",". Building Energy Saving Ordinance (BESO): Effective December 1, 2015, Berkeleyâ<U+0080><U+0099>s Building Energy Savings Ordinance (BESO) is designed to catalyze investment in energy-saving upgrades in homes and businesses. BESO requires property owners to conduct a building energy assessment that provides tailored recommendations for energy-saving opportunities and incentives for all commercial and multifamily buildings (phased in by size) and residential homes at time of sale. BESO is designed to uncover opportunities to for building owners to minimize wasted energy, improve occupant comfort, and lower utility bills."
"17",17,56,56,"PA","Pennsylvania","3,942","75,293","19","Bethlehem",40.9994,-79.3392,"Dfb","armstrong","Bethlehem, PA",NA
"18",18,58,58,"AL","Alabama","1,452","212,157","146","Birmingham",33.525,-86.813,"Cfa","jefferson","Birmingham, AL",NA
"19",19,61,61,"IL","Illinois","2,866","78,005","27","Bloomington",40.484167,-88.99361,"Dfa","mclean","Bloomington, IL",NA
"20",20,62,62,"IN","Indiana","3,647","84,465","23","Bloomington",39.1622,-86.5292,"Cfa","monroe","Bloomington, IN",NA
"21",21,70,70,"MA","Massachusetts","13,943","673,184","48","Boston",42.3584308,-71.05977,"Dfa","suffolk","Boston, MA",". Capacity goal of 25 MW"
"22",22,71,71,"CO","Colorado","4,383","108,090","25","Boulder",40.0274,-105.2519,"BSk","boulder","Boulder, CO",". In addition to producing electricity from renewable sources such as solar and wind, we will greatly reduce our use of natural gas and petroleum. The majority of residents and businesses will be able to participate in the production of this clean electricity and share in the resulting prosperity, well-being and resilience of Boulder. By cleaning our energy system, we will reduce community emissions by 43 percent by the year 2050. Boulder will meet the target through it's efforts to municipalize it's electric utility, pursue a partnership with its incumbent provider, or through enabling state policy.. Local generation will be the cornerstone of Boulder's efforts to decarbonize, decentralize and democratize its energy sources. Boulder's efforts will focus on removing restrictions and barriers to adoption and local incentives. Boulder is also looking at opportunities for larger-scale investment through regulatory changes at the state-level.  In 2017 Boulder has over 20 MW of local soar and 15 MW of hydroelectric capacity.  Boulder intends to achieve installed capacity of clean electricity generation of 50 MW by 2020, 100 MW by 2030 & 175 MW by 2050."
"23",23,74,74,"FL","Florida","4,673","75,569","16","Boynton Beach",26.531449,-80.09088,"Af","palm beach","Boynton Beach, FL",NA
"24",24,77,77,"CT","Connecticut","9,138","145,936","16","Bridgeport",41.18639,-73.19556,"Cfa","fairfield","Bridgeport, CT",NA
"25",25,83,83,"TX","Texas","1,389","183,823","132","Brownsville",25.9017,-97.4975,"Cfa","cameron","Brownsville, TX",NA
"26",26,87,87,"NY","New York","6,362","256,902","40","Buffalo",42.904722,-78.84944,"Dfb","erie","Buffalo, NY",NA
"27",27,91,91,"MN","Minnesota","2,460","61,290","25","Burnsville",44.767778,-93.2775,"Dfa","dakota","Burnsville, MN",NA
"28",28,94,94,"MA","Massachusetts","17,316","110,651","6","Cambridge",45.601,-93.32733,"Dfb","isanti","Cambridge, MA",NA
"29",29,99,99,"IN","Indiana","1,919","91,065","47","Carmel",39.966667,-86.1,"Cfa","hamilton","Carmel, IN",NA
"30",30,101,101,"NV","Nevada","378","54,742","145","Carson City",39.1637984,-119.7674,"Csb","carson city","Carson City, NV",NA
"31",31,102,102,"CA","California","4,957","92,797","19","Carson",33.839722,-118.2597,"BSk","los angeles","Carson, CA",NA
"32",32,112,112,"IL","Illinois","3,863","86,637","22","Champaign",40.115,-88.27278,"Dfa","champaign","Champaign, IL",NA
"33",33,114,114,"NC","North Carolina","2,805","59,246","21","Chapel Hill",35.913139,-79.05581,"Cfa","orange","Chapel Hill, NC",NA
"34",34,115,115,"SC","South Carolina","1,233","134,385","109","Charleston",32.7833,-79.9333,"Cfa","charleston","Charleston, SC",NA
"35",35,116,116,"NC","North Carolina","2,829","842,051","298","Charlotte",35.2271,-80.8431,"Cfa","mecklenburg","Charlotte, NC",NA
"36",36,117,117,"TN","Tennessee","1,295","177,571","137","Chattanooga",35.045556,-85.26722,"Cfa","hamilton","Chattanooga, TN",NA
"37",37,120,120,"IL","Illinois","11,883","2,704,958","228","Chicago",41.8781136,-87.6298,"Dfa","cook","Chicago, IL",". Released new 2015 GHG Inventory Report in January 2017. Key findings show a 7% reduction in GHG emissions from 2010 to 2015, due to increased energy efficiency, de-carbonization of the electricity supply, and improvements in citywide recycling.. City goals align with the State of Illinois Renewable Portfolio Standard, which is 25% by compliance year 2025-2026."
"38",38,125,125,"CA","California","5,383","267,172","50","Chula Vista",32.64,-117.083,"BSk","san diego","Chula Vista, CA",NA
"39",39,127,127,"OH","Ohio","3,834","298,800","78","Cincinnati",39.1031,-84.512,"Cfa","kenton","Cincinnati, OH",". As a region, Greater Cincinnati has a goal of doubling renewable energy production each year through 2020. In order to meet this goal, we are educating the public about the city's transition to renewable energy generation, lobbying the state of Ohio to strengthen the market for solar projects, identifying & promoting renewable energy financing tools, expanding the Solar Power Purchase Agreement to include more solar panels on municipal facilities, using Virtual Net Metering to allow for shared solar projects, and implementing anaerobic digestion or other technologies to convert biomass to energy."
"40",40,131,131,"OH","Ohio","4,965","385,809","78","Cleveland",41.4993,-81.6944,"Dfa","cuyahoga","Cleveland, OH",". The City has reduced emissions from its own operations by 9% compared to 2010."
"41",41,134,134,"FL","Florida","5,013","59,405","12","Coconut Creek",26.275,-80.18472,"Am","broward","Coconut Creek, FL",NA
"42",42,139,139,"MO","Missouri","1,912","120,612","63","Columbia",38.951705,-92.33407,"Cfa","boone","Columbia, MO",". Wind, landfill gas, solar, net meteringThe city plans to generate or purchase electricity generated from eligible renewable energy sources at the following levels:(1) Two (2) percent of electric retail sales (kWhs) by December 31, 2007;(2) Five (5) percent of electric retail sales (kWhs) by December 31, 2012;(3) Fifteen (15) percent of electric retail sales (kWhs) by December 31, 2017; and(4) Twenty-five (25) percent of electric retail sales (kWhs) by December 31, 2022.(5) Thirty (30) percent of electric retail sales (kWhs) by December 31, 2028.A new contract for wind energy from the Crystal Lake Wind Farm became effective January 1, 2017. An additional 27 megawatts of windgeneration should produce around 70,000 megawatt hours of wind energy during 2017. The last generator for the existing building at thelandfill is expected to be installed in late 2018.It is estimated that over 12% of Columbia?s electric portfolio will come from existing renewable resources in 2017. The additional amount needed to reach the 15% goal for 2018 is being researched. Columbia Water & Light staff members will be investigating options for more wind and/or solar energy."
"43",43,140,140,"SC","South Carolina","1,016","134,309","132","Columbia",34.0007,-81.0348,"Cfa","richland","Columbia, SC",". Still working on this. Our mayor recently joined as a co-chairman the Sierra Club's Ready for 100 and committed to 100% clean and renewable energy for Columbia by 2050."
"44",44,142,142,"OH","Ohio","3,960","860,090","217","Columbus",39.9611755,-82.99879,"Cfa","franklin","Columbus, OH",". Released the climate adaptation plan focused on drinking water resources, Sustaining Scioto. Currently working on a vulnerability assessment and climate adaptation plan to address other impacts associated with climate change.. procurement of green power"
"45",45,150,150,"FL","Florida","3,933","50,815","13","Coral Gables",25.716667,-80.27222,"Am","miami-dade","Coral Gables, FL",NA
"46",46,154,154,"OR","Oregon","4,042","57,110","14","Corvallis",44.5667,-123.283,"Csb","benton","Corvallis, OR",NA
"47",47,158,158,"CA","California","5,386","60,643","11","Cupertino",37.322998,-122.0322,"Csb","santa clara","Cupertino, CA",". Create Community Choice Energy option with the target: 100% of municipal electricity use in 2020 comes from 100% renewable or zero carbon sources via the CCE program."
"48",48,159,159,"TX","Texas","3,870","1,317,929","341","Dallas",32.7801399,-96.80045,"Cfa","dallas","Dallas, TX",". The City of Dallas purchases wind renewable energy credits equivalent to 100% of municipalelectricity use. The city provides bio-gas to a cogen facility that provides electricity back to the waste water treatment plant.  Landfill gas from the city owned MSW landfill is processed for sale as pipeline grade natural gas.Beginning in October 2015 the city purchases 100% of its energy from wind sources."
"49",49,160,160,"CA","California","13,900","106,472","8","Daly City",37.686389,-122.4683,"Csb","san mateo","Daly City, CA",NA
"50",50,164,164,"CA","California","6,887","68,111","10","Davis",38.544907,-121.7405,"Csa","yolo","Davis, CA",NA
"51",51,171,171,"FL","Florida","5,286","79,764","15","Deerfield Beach",26.3184123,-80.09977,"Am","palm beach","Deerfield Beach, FL",NA
"52",52,173,173,"FL","Florida","4,261","67,371","16","Delray Beach",26.459167,-80.08306,"Am","palm beach","Delray Beach, FL",NA
"53",53,175,175,"TX","Texas","1,521","133,808","88","Denton",33.214841,-97.13307,"Cfa","denton","Denton, TX",". After years of research, DME came to the conclusion that building a natural gas plant is the best option for securing our Renewable Energy targets. The proposed Denton Energy Center will enable DME to provide 70% renewable energy to residents by generating the on-demand power necessary to sustain production gaps that naturally occur with renewable energy sources. Projected energy sources are as follows; Renewables = 70% (52% Wind, 17% Solar, 1% Landfill Gas); Market Mix = 17%; Quick Start Natural Gas Plant = 13%."
"54",54,176,176,"CO","Colorado","4,530","693,060","153","Denver",39.737567,-104.9847,"BSk","denver","Denver, CO",". Expansion of Solar and microwind generation.  Also considering purchasing windsource or renewable energy from utility."
"55",55,177,177,"IA","Iowa","2,664","215,472","81","Des Moines",41.6005,-93.6091,"Dfa","polk","Des Moines, IA",NA
"56",56,180,180,"MI","Michigan","4,849","672,795","139","Detroit",42.331427,-83.04575,"Dfa","wayne","Detroit, MI",NA
"57",57,185,185,"CA","California","3,996","59,583","15","Dublin",37.702222,-121.9358,"Csb","alameda","Dublin, CA",NA
"58",58,186,186,"IA","Iowa","1,953","58,531","30","Dubuque",42.5044,-90.6869,"Dfa","dubuque","Dubuque, IA",NA
"59",59,187,187,"MN","Minnesota","1,273","86,293","68","Duluth",46.79,-92.1,"Dfb","st louis","Duluth, MN",NA
"60",60,188,188,"NC","North Carolina","2,450","263,016","107","Durham",35.994,-78.8986,"Cfa","durham","Durham, NC",NA
"61",61,193,193,"MN","Minnesota","1,970","63,914","32","Eden Prairie",44.845679,-93.45557,"Dfa","hennepin","Eden Prairie, MN",NA
"62",62,194,194,"MN","Minnesota","3,324","51,350","15","Edina",44.895556,-93.35472,"Dfa","hennepin","Edina, MN",NA
"63",63,198,198,"CA","California","12,114","115,807","10","El Monte",34.073333,-118.0275,"Csb","los angeles","El Monte, CA",NA
"64",64,200,200,"IL","Illinois","3,017","112,123","37","Elgin",42.0383,-88.3228,"Dfa","kane","Elgin, IL",NA
"65",65,205,205,"CA","California","3,356","63,131","19","Encinitas",33.0444,-117.272,"Csa","san diego","Encinitas, CA",NA
"66",66,209,209,"OR","Oregon","3,810","166,575","44","Eugene",44.0519,-123.0867,"Csb","lane","Eugene, OR",NA
"67",67,211,211,"IL","Illinois","9,627","74,895","8","Evanston",42.0464,-87.6947,"Dfa","cook","Evanston, IL",NA
"68",68,213,213,"WA","Washington","3,260","109,043","33","Everett",47.96333,-122.2006,"Csb","snohomish","Everett, WA",NA
"69",69,218,218,"AR","Arkansas","1,557","83,826","54","Fayetteville",36.082156,-94.17185,"Cfa","washington","Fayetteville, AR",". We are in the process of developing energy efficiency, renewable energy and greenhouse gas reduction targets as part of an Energy Action Plan development."
"70",70,222,222,"AZ","Arizona","1,119","71,459","64","Flagstaff",35.1992,-111.6311,"Csb","coconino","Flagstaff, AZ",". Local solar installations, cogeneration unit, solar thermal installations, wind energy, hydroelectric from Hoover Dam.. Local solar installations, cogeneration unit, solar thermal installations, wind energy hydroelectric from Hoover Dam.. Local solar installations, cogeneration unit, solar thermal installations, wind energy. The City of Flagstaff did not meet this target in 2015."
"71",71,223,223,"MI","Michigan","2,914","97,386","33","Flint",43.01,-83.69,"Dfb","genesee","Flint, MI",NA
"72",72,228,228,"CO","Colorado","3,025","164,207","54","Fort Collins",40.5853,-105.0844,"BSk","larimer","Fort Collins, CO",". The City will achieve a minimum of 2% from locally installed solar, with a minimum of 18% from qualifying wind and solar resources."
"73",73,229,229,"FL","Florida","5,141","178,752","35","Fort Lauderdale",26.1333,-80.15,"Am","broward","Fort Lauderdale, FL",NA
"74",74,232,232,"IN","Indiana","2,391","264,488","111","Fort Wayne",41.0804,-85.1392,"Dfa","allen","Fort Wayne, IN",NA
"75",75,237,237,"CA","California","3,010","233,136","77","Fremont",37.5483,-121.989,"Csb","alameda","Fremont, CA",NA
"76",76,242,242,"MD","Maryland","6,645","67,776","10","Gaithersburg",39.136502,-77.23212,"Cfa","montgomery","Gaithersburg, MD",NA
"77",77,247,247,"IN","Indiana","1,532","76,424","50","Gary",41.595556,-87.34528,"Dfa","lake","Gary, IN",NA
"78",78,253,253,"CA","California","6,595","200,831","30","Glendale",34.146111,-118.255,"Csb","los angeles","Glendale, CA",NA
"79",79,260,260,"MI","Michigan","4,424","196,445","44","Grand Rapids",42.9613,-85.6557,"Dfb","kent","Grand Rapids, MI",NA
"80",80,265,265,"NC","North Carolina","2,269","287,027","127","Greensboro",36.072635,-79.79197,"Cfa","guilford","Greensboro, NC",NA
"81",81,267,267,"SC","South Carolina","2,353","67,453","29","Greenville",34.844444,-82.38556,"Cfa","greenville","Greenville, SC",NA
"82",82,277,277,"CT","Connecticut","7,091","123,243","17","Hartford",41.7625,-72.67417,"Dfa","hartford","Hartford, CT",NA
"83",83,280,280,"CA","California","3,507","158,937","45","Hayward",37.6689,-122.0808,"Csb","alameda","Hayward, CA",NA
"84",84,290,290,"NJ","New Jersey","42,484","54,379","1","Hoboken",40.71388889,-74.07111,"Cfa","hudson","Hoboken, NJ",". Adopted a comprehensive Green Building & Environmental Sustainability Element of the City Master Plan (attached, website will be launched soon)"
"85",85,292,292,"FL","Florida","5,553","151,998","27","Hollywood",26.021389,-80.175,"Am","broward","Hollywood, FL",NA
"86",86,295,295,"TX","Texas","3,842","2,303,482","600","Houston",29.7601927,-95.36939,"Cfa","harris","Houston, TX",". The City of Houston has signed an agreement with Reliant Energy, an NRG Energy company, to purchase over 140 MW of renewable power for the next two years.  From July 1, 2013 through June 30, 2015, the Cityâ<U+0080><U+0099>s purchase of green power accounted for half of its annual electricity demand. This purchase puts Houston as the largest municipal purchaser of renewable power in the U.S., and in the top 10 overall in the nation, according to EPA estimates. The City has purchased renewable energy credits (RECs) that are Green-E certified.    Taking advantage of more cost effective and cost competitive REC prices, the City has maintained a relatively flat power price while also increasing its percentage of renewable energy in its portfolio.  In December 2015, the City of Houston signed an agreement with Reliant Energy, an NRG Energy company, to increase its purchase of renewable power through at least June 2016.  In 2017, the City negotiated another 12-month extension.  With this change, the Cityâ<U+0080><U+0099>s purchase of green power will account for 89% of its annual electricity demand.  The City will be using more than 950,000 MWh of green power per year, which is equivalent to the amount of kilowatt-hours needed to more than 87,000 homes each year.. 80% of the Cityâ<U+0080><U+0099>s energy coming from renewable sources and a 50 MW solar project soon to come online."
"87",87,308,308,"MS","Mississippi","1,523","169,148","111","Jackson",32.1793163,-90.24537,"Cfa","rankin","Jackson, MS",NA
"88",88,312,312,"WI","Wisconsin","1,895","64,159","34","Janesville",42.6827885,-89.01872,"Dfb","rock","Janesville, WI",NA
"89",89,313,313,"NJ","New Jersey","17,860","264,152","15","Jersey City",40.714,-74.071,"Cfa","hudson","Jersey City, NJ",NA
"90",90,320,320,"MI","Michigan","3,079","75,984","25","Kalamazoo",42.29,-85.58583,"Dfa","kalamazoo","Kalamazoo, MI",NA
"91",91,325,325,"WI","Wisconsin","3,700","99,631","27","Kenosha",42.582222,-87.84556,"Dfb","kenosha","Kenosha, WI",NA
"92",92,331,331,"WA","Washington","8,128","87,701","11","Kirkland",47.685833,-122.1917,"Csb","king","Kirkland, WA",NA
"93",93,332,332,"FL","Florida","3,274","69,369","21","Kissimmee",28.303889,-81.41278,"Cfa","osceola","Kissimmee, FL",NA
"94",94,333,333,"TN","Tennessee","1,890","186,239","99","Knoxville",35.9606,-83.9207,"Cfa","knox","Knoxville, TN",NA
"95",95,335,335,"WI","Wisconsin","2,539","52,109","21","La Crosse",43.813333,-91.23306,"Dfa","la crosse","La Crosse, WI",NA
"96",96,347,348,"CO","Colorado","3,601","154,393","43","Lakewood",39.7047,-105.0814,"Dfb","jefferson","Lakewood, CO",". Lakewood Sustainability Plan, Strategy BE1-D, pg. 39.. Lakewood Sustainability Plan, Strategy BE1-A, pg. 37."
"97",97,348,349,"OH","Ohio","9,092","50,279","6","Lakewood",41.480833,-81.80028,"Dfa","cuyahoga","Lakewood, OH",NA
"98",98,351,352,"PA","Pennsylvania","8,191","59,218","7","Lancaster",40.0379,-76.3055,"Cfa","lancaster","Lancaster, PA",". City ordinance requiring solar panels on new residential rooftops, encouraging the development of solar projects."
"99",99,352,353,"MI","Michigan","3,218","116,020","36","Lansing",42.733611,-84.54667,"Dfb","ingham","Lansing, MI",NA
"100",100,353,354,"TX","Texas","2,892","257,156","89","Laredo",27.52444,-99.49056,"BSh","webb","Laredo, TX",NA
"101",101,355,356,"NM","New Mexico","1,330","101,759","76","Las Cruces",32.314444,-106.7789,"BWk","dona ana","Las Cruces, NM",NA
"102",102,356,357,"NV","Nevada","4,660","632,912","136","Las Vegas",36.1699412,-115.1398,"BWk","clark","Las Vegas, NV",". The City announced that beginning in 2017, the City, through a Renewable Energy Agreement with the stateâ<U+0080><U+0099>s investor-owned utility NV Energy, will receive energy produced by a solar facility near Boulder City, coupled with power from NV Energy that already satisfies Nevadaâ<U+0080><U+0099>s renewable portfolio standard allowing 100 percent of the Cityâ<U+0080><U+0099>s retail load to be served by renewable energy, bringing the city to net zero.. Required by Nevada Revised Statutes (NRS 701B). NV Energy - the state's investor owned utility, completed a 500 kV transmission line connection north and south grids in Nevada allowing renewable energy to flow back and forth. Currently, there is 1900 MW of renewables and portfolio credits come from geothermal, solar, wind, hydro, and biomass/waste heat and meet state requirements. Current Nevada RPS is 21% in Southern Nevada and 24% statewide. NV Energy is also completely divesting itself of coal and has shut down the last coal-fired power plant in Southern Nevada in early 2017."
"103",103,357,358,"FL","Florida","8,397","71,626","9","Lauderhill",26.1656,-80.2325,"Am","broward","Lauderhill, FL",NA
"104",104,358,359,"KS","Kansas","2,841","95,358","34","Lawrence",38.9717,-95.2353,"Cfa","douglas","Lawrence, KS",NA
"105",105,370,371,"AR","Arkansas","1,666","198,541","119","Little Rock",34.7361,-92.3311,"Cfa","pulaski","Little Rock, AR",NA
"106",106,375,376,"CA","California","9,348","470,130","50","Long Beach",33.7701,-118.1937,"BSk","los angeles","Long Beach, CA",". 25.4 Megawatts of PV Solar has been installed throughout the Long Beach since 2005."
"107",107,376,377,"CO","Colorado","3,546","92,858","26","Longmont",40.0275,-105.2519,"BSk","boulder","Longmont, CO",NA
