"","X.2","X.1","X","State.Code","State","Density","Population","Area","jcity","lat","long","koppen","county","fs","description"
"108",108,379,380,"CA","California","8,484","3,976,322","469","Los Angeles",34.0522342,-118.2437,"Csb","los angeles","Los Angeles, CA",". Local Solar & Decarbonizing Grid:LADWP will reach 50% renewables by 2030 per state law.. Mobility and transit:10% of all light duty vehicles within the city being electric or zero-emission by 2025. Mobility and transit:10% of all light duty vehicles within the city being electric or zero-emission by 2025. Building Efficiency: reduce energy use per square foot for all building types 30% by 2035. Mobility and transit:The city will support the Los Angeles County Metropolitan Transportation Authority<U+0089>Ûªs expanded transit service with improved pedestrian and bicycle infrastructure and zoning updates to ensure transit options are convenient to homes and businesses.
. https://www.ladwp.com/cs/idcplg?IdcService=GET_FILE&dDocName=OPLADWPCCB562207&RevisionSelectionMethod=LatestReleased. 60% reduction in total GHG emissions below 1990 levels by 2030. Mobility and transit:80% of all future municipal fleet procurement be all electric by 2025. Water: cut its dependence of local water in half by 2025. 45% reduction in total GHG emissions below 1990 levels by 2025. Local Solar & Decarbonizing Grid: increase local solar capacity to 1800 MW by 2035. Waste: 90% landfill diversion rate by 2025. 80% reduction in total GHG emissions below 1990 levels by 2050. Local Solar & Decarbonizing Grid:decarbonize Los Angeles Department of Water and Power (LADWP)<U+0089>Ûªs resource mix by retiring coal plants and generating coal-free electricity by 2025."
"109",109,380,381,"KY","Kentucky","1,895","616,261","325","Louisville",38.25,-85.7667,"Cfa","jefferson","Louisville, KY",NA
"110",110,388,389,"WI","Wisconsin","3,289","252,551","77","Madison",43.066667,-89.4,"Dfb","dane","Madison, WI",NA
"111",111,389,390,"MA","Massachusetts","12,071","60,840","5","Malden",42.425,-71.06667,"Dfa","middlesex","Malden, MA",NA
"112",112,403,404,"TN","Tennessee","2,072","652,717","315","Memphis",35.117365,-89.97107,"Cfa","shelby","Memphis, TN",NA
"113",113,410,411,"FL","Florida","12,047","91,917","8","Miami Beach",25.790654,-80.13004,"Am","miami-dade","Miami Beach, FL",NA
"114",114,412,413,"FL","Florida","12,645","453,579","36","Miami",25.7617,-80.1918,"Am","miami-dade","Miami, FL",NA
"115",115,415,416,"CT","Connecticut","2,399","52,536","22","Milford",41.224167,-73.05972,"Cfa","new haven","Milford, CT",NA
"116",116,417,418,"WI","Wisconsin","6,191","595,047","96","Milwaukee",43.0389,-87.9065,"Dfb","milwaukee","Milwaukee, WI",". http://city.milwaukee.gov/Climate-Action.htm#.Vz34jscshcY"
"117",117,418,419,"MN","Minnesota","7,664","413,651","54","Minneapolis",44.983334,-93.26667,"Dfa","hennepin","Minneapolis, MN",". This goal comes from the Minneapolis Climate Action Plan. Purchase RECs, subscribing to voluntary renewable programs through our electric utility, owning and operating solar arrays. This goal comes from the Minneapolis Clean Energy Partnership 2017-2018 Work Plan. Purchase RECs, subscribing to voluntary renewable programs through our electric utility, owning and operating solar arrays"
"118",118,420,421,"FL","Florida","4,690","138,449","30","Miramar",25.978889,-80.2825,"Am","broward","Miramar, FL",NA
"119",119,423,424,"MT","Montana","2,630","72,364","28","Missoula",46.8625,-114.0117,"Dfb","missoula","Missoula, MT",NA
"120",120,434,435,"NY","New York","15,568","68,344","4","Mount Vernon",40.917925,-73.82876,"Cfa","westchester","Mount Vernon, NY",NA
"121",121,435,436,"CA","California","6,704","80,447","12","Mountain View",37.3894,-122.082,"Csb","santa clara","Mountain View, CA",NA
"122",122,440,441,"CA","California","4,508","80,416","18","Napa",38.304722,-122.2989,"Csb","napa","Napa, CA",NA
"123",123,442,443,"NH","New Hampshire","2,849","87,882","31","Nashua",42.7575,-71.46444,"Dfb","hillsborough","Nashua, NH",NA
"124",124,443,444,"TN","Tennessee","1,390","660,388","475","Nashville",36.1667,-86.7833,"Cfa","davidson","Nashville, TN",NA
"125",125,445,446,"MA","Massachusetts","4,752","95,032","20","New Bedford",41.6518,-70.9337,"Cfa","bristol","New Bedford, MA",NA
"126",126,449,450,"CT","Connecticut","6,956","129,934","19","New Haven",41.31,-72.92361,"Cfa","new haven","New Haven, CT",NA
"127",127,450,451,"LA","Louisiana","2,311","391,495","169","New Orleans",29.9511,-90.0715,"Cfa","orleans","New Orleans, LA",". â<U+0080>¢ New Orleans has taken inventory of our greenhouse gas pollution and is finalizing a 2030 community target reduction for our climate action strategy to be launched in 2017"
"128",128,451,452,"NY","New York","7,687","79,557","10","New Rochelle",40.921889,-73.78626,"Cfa","westchester","New Rochelle, NY",NA
"129",129,452,454,"NJ","New Jersey","11,648","281,764","24","Newark",40.72422,-74.17257,"Cfa","essex","Newark, NJ",NA
"130",130,454,456,"VA","Virginia","2,646","181,825","69","Newport News",37.070833,-76.48444,"Cfa","newport news","Newport News, VA",NA
"131",131,455,457,"MA","Massachusetts","4,991","89,045","18","Newton",42.3369,-71.21,"Dfa","middlesex","Newton, MA",NA
"132",132,457,459,"VA","Virginia","4,529","245,115","54","Norfolk",36.8507689,-76.28587,"Cfa","norfolk","Norfolk, VA",NA
"133",133,458,460,"IL","Illinois","2,957","54,264","18","Normal",40.512222,-88.98861,"Dfa","mclean","Normal, IL",NA
"134",134,461,465,"FL","Florida","7,389","62,139","8","North Miami",25.895022,-80.18575,"Am","miami-dade","North Miami, FL",NA
"135",135,470,475,"CA","California","7,528","420,005","56","Oakland",37.8044,-122.2708,"Csb","alameda","Oakland, CA",". Transportation and Land Use:reduce vehicle miles traveled by 20% and save 24 million gallons of oil (gasoline) annually by shifting transportation modes away from single vehicle occupant use and toward public transit, walking, and biking, and shifting toward more efficient and alternative fuel vehicles.. Reduce total GHG emissions to 36% below 2005 levels by 2020. Building and Energy Use: reduce electricity consumption 32% and natural gas consumption 14% below 2005 levels by 2020. Reduce total GHG emissions to 83% below 2005 levels by 2050. Providing 1,396 homes with free rain barrels and cisterns; adopting neighborhood Specific Plans that prioritize transit-oriented sustainable development near major transit hubs; partnering with the regional Bay Conservation and Development Commission (BCDC) to study climate change impacts, vulnerabilities, and potential adaptation strategies for projected sea level rise and associated flooding through BCDC<U+0089>Ûªs Adapting to Rising Tides Pilot Program, with a project area that includes all of Oakland's shoreline, chosen based on community interest, capacity for participation, and the presence of regionally significant transportation infrastructure; and implementing award-winning storm water management and wetland restoration projects.. Total renewable energy covered by target (62000 MWh)"
"136",136,477,482,"WA","Washington","2,873","51,202","18","Olympia",47.0425,-122.8931,"Csb","thurston","Olympia, WA",NA
"137",137,483,488,"FL","Florida","2,707","277,173","102","Orlando",28.4158,-81.2989,"Cfa","orange","Orlando, FL",NA
"138",138,493,499,"CA","California","2,807","67,024","24","Palo Alto",37.4419,-122.143,"Csb","santa clara","Palo Alto, CA",". Palo Alto adopted one of the first municipal climate action plans in the U.S. in 2007.. Renewable portfolio to be composed of 50% renewable resources and 50% hydro."
"139",139,502,508,"RI","Rhode Island","8,229","71,427","9","Pawtucket",41.875556,-71.37611,"Cfa","providence","Pawtucket, RI",NA
"140",140,505,511,"FL","Florida","5,090","168,587","33","Pembroke Pines",26.0125,-80.31361,"Am","broward","Pembroke Pines, FL",NA
"141",141,511,517,"CA","California","4,209","60,530","14","Petaluma",38.245833,-122.6314,"Csb","sonoma","Petaluma, CA",NA
"142",142,514,520,"PA","Pennsylvania","11,692","1,567,872","134","Philadelphia",39.952335,-75.16379,"Cfa","philadelphia","Philadelphia, PA",". Philadelphia will set a new goal to reach 100% renewable energy as part of its citywide energy vision in 2017."
"143",143,515,521,"AZ","Arizona","3,126","1,615,017","517","Phoenix",33.4484,-112.074,"BWh","maricopa","Phoenix, AZ",". Renewable Energy Goal: 15% of the total energy-use in municipal operations to be generated from renewable sources by 2025.  Currently, over 15.25 MW of solar capacity has been installed. This is 3% of the cityâ<U+0080><U+0099>s total energy-use. Phoenix continues to pursue city/utility solar partnerships, rooftop, open space, and landfill solar as well as the wastewater treatment biogas projects above.. Mayor Greg Stanton is a member of the C40 Compact of Mayors and the Mayorsâ<U+0080><U+0099> National Climate Change Action Agenda, and serves as the chair U.S. Conference of Mayors Environment Committee."
"144",144,518,524,"CA","California","4,104","70,679","17","Pittsburg",38.0279762,-121.8847,"Csa","contra costa","Pittsburg, CA",NA
"145",145,519,525,"PA","Pennsylvania","5,484","303,625","55","Pittsburgh",40.4406248,-79.99589,"Cfa","allegheny","Pittsburgh, PA",NA
"146",146,528,534,"FL","Florida","4,558","109,393","24","Pompano Beach",26.234722,-80.12556,"Am","broward","Pompano Beach, FL",NA
"147",147,533,540,"ME","Maine","3,141","66,937","21","Portland",43.6615,-70.2553,"Dfb","cumberland","Portland, ME",". Rooftop solar installations, land based solar, purchase RECS."
"148",148,534,541,"OR","Oregon","4,795","639,863","133","Portland",45.52,-122.6819,"Csb","multnomah","Portland, OR",". Carbon sequestration:Sequester carbon through increased green infrastructure (trees, plants, soil) and natural areas.. Transportation:Reduce lifecycle carbon emissions of transportation fuels by 20 percent.. Waste:Recover 90 percent of all waste generated.. Motivate all Multnomah County residents and businesses to change their behavior in ways that reduce carbon emissions.. Reduce total local carbon emissions 80 percent below 1990 levels by 2050. Supply 50 percent of all energy used in buildings from renewable resources, primarily through, solar, biomass, micro hydro, geothermal, and clean district energy.. Climate change preparation: Increase Portland<U+0089>Ûªs ability to respond and recover to projected climate impacts of more (and more intense) flooding, landslides, heat waves, fires and drought.. Building:Reduce the total energy use of all buildings built before 2010 by 25 percent.. Reduce total local carbon emissions 40 percent below 1990 levels by 2030. Solid Waste:Reduce per capita solid waste by 33 percent.. Building:Supply 50 percent of all energy used in buildings from renewable resources.. Net-zero buildings: Accelerate construction of net-zero buildings using technical assistance, incentives and recognition. Support more aggressive energy performance requirements in Oregon's statewide building code.. Reduce carbon emissions from City and County operations by 53 percent from fiscal year 06<U+0089>ÛÒ 07 levels. Climate equity: Use carbon reduction actions to 1) prioritize equitable access to low-carbon solutions like active transportation and weatherized homes, 2) engage low-income populations and communities of color in climate policy and program design and implementation, and 3) ensure that climate preparedness activities prioritize residents who are most vulnerable to climate impacts.. Consumption-based carbon emissions: Inventory and explore policy and program options to reduce all of the carbon emissions that are generated elsewhere because of Portland residents<U+0089>Ûª consumption of goods (e.g., food, furniture, clothing, electronics) and services (e.g., health care, banking).. Commercial: Reduce consumption-related emissions by encouraging sustainable consumption and supporting Portland businesses in minimizing the carbon intensity of their supply chains.. Electric vehicles: Improve access to and visibility of charging stations, and motivate residents and businesses to transition to EVs.. Food Waste:Reduce food scraps sent to landfills by 90 percent.. Community climate change policies: Engage communities, especially impacted under-represented and under-served populations, in the development and implementation of climate change-related policies and programs.. Built Enviornment:Create vibrant neighborhoods where 80 percent of residents can easily walk or bicycle to meet all basic daily, non-work needs.. Building:Achieve zero-net carbon emissions in all new buildings and homes.. Food system:Reduce consumption of carbon-intensive foods and support a community-based food system"
"149",149,537,544,"RI","Rhode Island","9,740","179,219","18","Providence",41.824,-71.4128,"Cfa","providence","Providence, RI",NA
"150",150,541,548,"WI","Wisconsin","5,011","77,571","15","Racine",42.7261309,-87.78285,"Dfb","racine","Racine, WI",NA
"151",151,542,549,"NC","North Carolina","3,211","458,880","143","Raleigh",35.766667,-78.63333,"Cfa","wake","Raleigh, NC",NA
"152",152,543,550,"CA","California","2,158","72,326","34","Rancho Cordova",38.589167,-121.3028,"Csa","sacramento","Rancho Cordova, CA",NA
"153",153,549,556,"WA","Washington","3,836","62,458","16","Redmond",47.669444,-122.1239,"Csb","king","Redmond, WA",NA
"154",154,551,558,"CA","California","4,374","84,950","19","Redwood City",37.482778,-122.2361,"Csb","san mateo","Redwood City, CA",NA
"155",155,552,559,"NV","Nevada","2,381","245,255","103","Reno",39.5296,-119.8138,"Csb","washoe","Reno, NV",". Launching Better Buildings Challenge with challenge goal to reduce municipal and commercial building energy 20% by 2025 for participating building owners, operators."
"156",156,558,565,"CA","California","3,652","109,813","30","Richmond",37.9358,-122.3477,"Csb","contra costa","Richmond, CA",". In partnership with MCE supply at least 87% of community electricity from sources that are 95% renewable; PG&E will supply the remainder of community electricity from sources that are at least 50% renewable. The City of Richmond has already joined MCE and has been a member since 2013."
"157",157,559,566,"VA","Virginia","3,731","223,170","60","Richmond",37.540725,-77.43605,"Cfa","henrico","Richmond, VA",". Since 2013, City of Richmond government has been purchasing Renewable Energy Credits and plans to continue for the foreseeable future."
"158",158,562,569,"VA","Virginia","2,342","99,660","43","Roanoke",37.271,-79.9414,"Cfa","roanoke","Roanoke, VA",NA
"159",159,565,572,"NY","New York","5,838","208,880","36","Rochester",43.161,-77.6109,"Dfb","monroe","Rochester, NY",NA
"160",160,566,573,"SC","South Carolina","2,042","72,937","36","Rock Hill",34.9248667,-81.02508,"Cfa","york","Rock Hill, SC",NA
"161",161,569,576,"MD","Maryland","4,955","66,940","14","Rockville",39.077318,-77.15782,"Cfa","montgomery","Rockville, MD",NA
"162",162,577,584,"MI","Michigan","5,009","59,006","12","Royal Oak",42.488889,-83.14278,"Dfa","oakland","Royal Oak, MI",NA
"163",163,578,585,"CA","California","5,058","495,234","98","Sacramento",38.5816,-121.4944,"Csa","sacramento","Sacramento, CA",". Municipal operations:committing to a 49 percent reduction below 2005 levels by 2035. Renewable energy:partners with the local electric utility, the Sacramento Municipal Utility District (SMUD) to expand renewables, and to achieve 33 percent renewables by 2020.. 49 percent reduction in community-wide GHG emissions below 2005 levels by 2035. Municipal operations:committing to a 22 percent reduction below 2005 levels by 2020. Municipal operations:committing to a 83 percent reduction below 2005 levels by 2050. 83 percent reduction in community-wide GHG emissions below 2005 levels by 2050. 15 percent reduction in community-wide GHG emissions below 2005 levels by 2020"
"164",164,579,586,"OR","Oregon","3,495","167,419","48","Salem",44.930833,-123.0289,"Csb","marion","Salem, OR",NA
"165",165,583,591,"TX","Texas","3,238","1,492,510","461","San Antonio",29.4241,-98.4936,"Cfa","bexar","San Antonio, TX",NA
"166",166,587,595,"CA","California","4,326","1,406,630","325","San Diego",32.718146,-117.1701,"BSk","san diego","San Diego, CA",". Present to City Council for consideration a Community Choice Aggregation (CCA) or another program that increases the renewable energy supply."
"167",167,588,596,"CA","California","18,581","870,887","47","San Francisco",37.7749295,-122.4194,"Csb","san francisco","San Francisco, CA",". Compact of Mayors and Under2MOU signatory. In December 2010, then-Mayor Gavin Newsom announced a new goal for San Francisco: to be completely powered by renewable energy in 10 years. In pursuit of this goal, Mayor Edwin Lee, together with his predecessor, established the Mayorâ<U+0080><U+0099>s Renewable Energy Task Force in January 2011, with the directive to develop recommendations for the City and County of San Francisco to achieve a fully renewable electricity supply for San Francisco. The Task Force, comprising local clean energy leaders, business and community stakeholders, and relevant City departments met nearly monthly from January 2011 through May 2012 to examine local and regional barriers to and opportunities for renewable energy, including policy, regulatory, technical, financial, and public awareness aspects. The Task Force produced a recommendation report that was released in September 2012. This report reflects the Task Forceâ<U+0080><U+0099>s discussions and recommendations for meeting the Cityâ<U+0080><U+0099>s 100% renewable energy goal. The report can be viewed and downloaded here: http://www.sfenvironment.org/sites/default/files/fliers/files/sfe_re_renewableenergytaskforcerecommendationsreport.pdf"
"168",168,590,598,"CA","California","6,781","90,465","13","San Leandro",37.72493,-122.1561,"Csb","alameda","San Leandro, CA",NA
"169",169,592,600,"TX","Texas","2,051","61,980","30","San Marcos",29.879444,-97.93889,"Cfa","hays","San Marcos, TX",NA
"170",170,593,601,"CA","California","8,570","103,959","12","San Mateo",37.554167,-122.3131,"Csb","san mateo","San Mateo, CA",NA
"171",171,594,602,"CA","California","3,579","58,954","16","San Rafael",37.9736,-122.531,"Csb","marin","San Rafael, CA",NA
"172",172,599,607,"CA","California","12,256","334,217","27","Santa Ana",33.740833,-117.8814,"Csa","orange","Santa Ana, CA",NA
"173",173,600,608,"CA","California","4,722","91,930","19","Santa Barbara",34.4258,-119.714,"Csb","santa barbara","Santa Barbara, CA",NA
"174",174,601,609,"CA","California","6,841","125,948","18","Santa Clara",37.354444,-121.9692,"Csb","santa clara","Santa Clara, CA",NA
"175",175,603,611,"CA","California","5,060","64,465","13","Santa Cruz",36.974117,-122.0308,"Csb","santa cruz","Santa Cruz, CA",". we have a 3 phase municipal investment strategy running thru 2020;if all area completed, we will reach 38% of building energy met with renewables."
"176",176,604,612,"NM","New Mexico","1,824","83,875","46","Santa Fe",35.5358,-105.925,"BSk","santa fe","Santa Fe, NM",NA
"177",177,606,614,"CA","California","10,996","92,478","8","Santa Monica",34.0219,-118.4814,"Csb","los angeles","Santa Monica, CA",". Community Choice Aggregation. The Cityâ<U+0080><U+0099>s Big Blue Bus fleet converted to 100% renewable natural gas from landfill- captured methane."
"178",178,607,615,"CA","California","4,242","175,155","41","Santa Rosa",38.4486,-122.705,"Csb","sonoma","Santa Rosa, CA",NA
"179",179,609,617,"FL","Florida","3,862","56,610","15","Sarasota",27.337222,-82.53528,"Cfa","sarasota","Sarasota, FL",". Energy Performance Contract to improve efficiency in city buildings and install automated water meter readers"
"180",180,610,618,"GA","Georgia","1,423","146,763","103","Savannah",32.0835,-81.0998,"Cfa","chatham","Savannah, GA",NA
"181",181,612,620,"NY","New York","6,022","64,913","11","Schenectady",42.81417,-73.93722,"Dfb","schenectady","Schenectady, NY",NA
"182",182,615,623,"WA","Washington","8,391","704,352","84","Seattle",47.6062,-122.3321,"Csb","king","Seattle, WA",". Adopted a comprehensive Climate Action Plan which provides a roadmap to carbon neutrality through strategies that enhance community, economic, and equity goals."
"183",183,617,625,"WA","Washington","4,741","55,333","12","Shoreline",47.75639,-122.3397,"Csb","king","Shoreline, WA",NA
"184",184,622,630,"IL","Illinois","6,389","64,270","10","Skokie",42.033333,-87.74278,"Dfa","cook","Skokie, IL",NA
"185",185,624,632,"MA","Massachusetts","19,738","81,322","4","Somerville",42.393449,-71.08265,"Dfa","middlesex","Somerville, MA",". Second city in Massachusetts to sign on to Compact of Mayors, September 2015"
"186",186,625,633,"IN","Indiana","2,454","101,735","41","South Bend",41.6725,-86.25528,"Dfa","st joseph","South Bend, IN",NA
"187",187,629,638,"MI","Michigan","2,783","73,100","26","Southfield",42.4733688,-83.22187,"Dfa","oakland","Southfield, MI",NA
"188",188,635,644,"MA","Massachusetts","4,834","154,074","32","Springfield",42.112411,-72.54745,"Dfb","hampden","Springfield, MA",NA
"189",189,646,656,"FL","Florida","4,227","260,999","62","St. Petersburg",27.778699,-82.65003,"Cfa","pinellas","St. Petersburg, FL",NA
"190",190,647,657,"CT","Connecticut","3,430","129,113","38","Stamford",41.052778,-73.53889,"Cfa","fairfield","Stamford, CT",NA
"191",191,649,659,"CA","California","4,979","307,072","62","Stockton",37.975556,-121.3008,"Csa","san joaquin","Stockton, CA",NA
"192",192,652,662,"CA","California","6,947","152,771","22","Sunnyvale",37.3688,-122.037,"Csb","santa clara","Sunnyvale, CA",NA
"193",193,653,663,"FL","Florida","5,179","93,734","18","Sunrise",26.157222,-80.28611,"Am","broward","Sunrise, FL",NA
"194",194,655,665,"NY","New York","5,726","143,378","25","Syracuse",43.0469,-76.1444,"Dfb","onondaga","Syracuse, NY",NA
"195",195,656,666,"WA","Washington","4,249","211,277","50","Tacoma",47.241389,-122.4594,"Csb","pierce","Tacoma, WA",". Adopted Environmental Action Plan in 2016, prioritizing 68 actions with 5 year targets.Â . Adopted Environmental Action Plan in 2016, prioritizing 68 actions with 5 year targets.Â "
"196",196,657,667,"FL","Florida","1,904","190,894","100","Tallahassee",30.455,-84.2533,"Cfa","leon","Tallahassee, FL",NA
"197",197,659,669,"FL","Florida","3,326","377,165","113","Tampa",27.9681,-82.4764,"Cfa","hillsborough","Tampa, FL",NA
"198",198,664,674,"AZ","Arizona","4,570","182,498","40","Tempe",33.42551,-111.94,"BWh","maricopa","Tempe, AZ",". Solar projects"
"199",199,671,681,"OH","Ohio","3,452","278,508","81","Toledo",41.665556,-83.57528,"Dfa","lucas","Toledo, OH",NA
"200",200,673,683,"CA","California","7,187","147,195","20","Torrance",33.834722,-118.3414,"BSk","los angeles","Torrance, CA",NA
"201",201,675,685,"NJ","New Jersey","10,988","84,056","8","Trenton",40.223748,-74.764,"Cfa","mercer","Trenton, NJ",NA
"202",202,677,687,"AZ","Arizona","2,341","530,706","227","Tucson",32.12,-110.93,"BSh","pima","Tucson, AZ",NA
"203",203,684,694,"CA","California","3,869","75,322","19","Union City",37.59639,-122.0483,"Csb","alameda","Union City, CA",NA
"204",204,685,695,"NJ","New Jersey","54,138","69,296","1","Union City",40.7675,-74.0323,"Cfa","hudson","Union City, NJ",NA
"205",205,692,702,"WA","Washington","3,763","174,826","46","Vancouver",45.633333,-122.6,"Csb","clark","Vancouver, WA",NA
"206",206,708,718,"CA","California","8,041","53,796","7","Watsonville",36.92,-121.7636,"Csb","santa cruz","Watsonville, CA",NA
"207",207,709,719,"IL","Illinois","3,725","88,182","24","Waukegan",42.370278,-87.87111,"Dfa","lake","Waukegan, IL",NA
"208",208,710,720,"WI","Wisconsin","2,917","72,363","25","Waukesha",43.0116784,-88.23148,"Dfb","waukesha","Waukesha, WI",NA
"209",209,714,725,"CT","Connecticut","5,071","54,516","11","West Haven",41.273889,-72.96778,"Cfa","new haven","West Haven, CT",NA
"210",210,717,729,"CA","California","2,472","52,981","21","West Sacramento",38.5806,-121.53,"Csa","yolo","West Sacramento, CA",NA
"211",211,718,731,"MI","Michigan","3,993","81,545","20","Westland",42.324167,-83.40028,"Dfa","wayne","Westland, MI",NA
"212",212,720,733,"CO","Colorado","3,609","113,875","32","Westminster",39.836111,-105.0372,"Dfb","adams","Westminster, CO",NA
"213",213,721,734,"FL","Florida","2,783","70,015","25","Weston",26.1075,-80.38806,"Am","broward","Weston, FL",NA
"214",214,724,737,"NY","New York","5,961","58,241","10","White Plains",41.04,-73.7786,"Cfa","westchester","White Plains, NY",NA
"215",215,730,743,"NC","North Carolina","1,829","242,203","132","Winston-Salem",36.1028,-80.2605,"Cfa","forsyth","Winston-Salem, NC",NA
"216",216,732,745,"CA","California","3,861","59,068","15","Woodland",38.678611,-121.7733,"Csa","yolo","Woodland, CA",NA
"217",217,733,746,"MA","Massachusetts","4,937","184,508","37","Worcester",42.266667,-71.8,"Dfb","worcester","Worcester, MA",NA
"218",218,736,749,"NY","New York","11,150","200,807","18","Yonkers",40.9414,-73.8644,"Cfa","westchester","Yonkers, NY",NA
