City,# of city actions,Percentage reduction,Baseline,,
Balikpapan,4,19,954593,,
Bandung,4,30,3527247.34,,
Semarang,4,4,1995000,,
Bogor,4,33,2193642,,
Cemahi,1,9.39,768471.34,,
Jakarta,5,30,2.88E+08,,
Seberang Perai,4,40,8131.48208,,
Melaka,3,45,1742087,,
Kuala Lumpur,3,70,25427,,
Batangas,5,25,705827,,
Naga,4,5,243527,,
Pasig City,5,10,659168,,
San Carlos,5,10,88330,,
Santa Rosa,5,30,1358351,,
Paranaque,5,3,1815777,,
Hat Yai,5,10,573732,,
Kalangnakorn,3,5,10878,,
Map Ammarit,5,5,4311,,
Nonthaburi,4,5,220679,,
Patong,3,5,1156684,,
Yasothon,5,20,72897,,